MSSV,Name,Age,Score,Major
SV001,Khanh,19.0,8.5,Information Systems
SV002,Khoa,20.0,7.0,Computer Science
SV003,Hai,20.11111111111111,7.5,Information Systems
SV004,An,21.0,8.05,Software Engineering
SV005,Khoa,20.0,7.0,Computer Science
SV006,Le,20.11111111111111,8.0,Information Systems
SV007,Hai,22.0,8.05,Information Systems
SV008,Minh,19.0,9.5,Computer Science
SV009,Linh,20.0,8.0,Unknown
SV010,Tuan,20.11111111111111,7.5,Software Engineering
SV011,An,21.0,9.0,Software Engineering
SV012,Khanh,19.0,8.5,Information Systems
