MSSV,Name,Age,Math,Python,SQL,Major
SV001,Khanh,19,8.5,9.0,8.0,Information Systems
SV002,Khoa,20,7.0,,7.5,Computer Science
SV003,Hai,,6.5,7.0,,Information Systems
SV004,An,21,,8.5,8.0,Software Engineering
SV005,Minh,19,9.0,9.5,9.0,Computer Science
SV006,Le,,8.0,8.0,,Information Systems
SV007,Linh,20,7.5,,8.5,
SV008,Tuan,22,10.0,9.0,9.5,Computer Science
SV009,Nam,19,,7.5,7.0,Software Engineering
SV010,Vy,20,8.5,,8.0,Information Systems
SV011,Khoa,20,7.0,7.0,7.5,Computer Science
SV012,Hai,22,6.5,7.0,,Information Systems
SV013,Trang,,9.5,9.0,9.0,Information Systems
SV014,Phuc,21,,8.5,8.5,Software Engineering
SV015,An,21,9.0,9.0,9.0,Software Engineering
SV002,Khoa,20,7.0,,7.5,Computer Science
SV010,Vy,20,8.5,,8.0,Information Systems
